"","title","rating","critics_pick","author","headline","summary","pub_date","opening_date","updated_date","link_type","link_url","link_suggested","multimedia_type","multi_media_src","multimedia_height","multimedia_width","sent_mean","sent_sd","sent_sum","clean_summary"
"31","A Hidden Life","PG-13",0,"A.O. Scott","‘A Hidden Life’ Review: Refusing Hitler, Embracing Beauty","Terrence Malick’s film telling the story of an Austrian farmer’s heroic defiance of the Nazis is gorgeous and at times frustrating.","2019-12-12","2019-12-13","2020-01-12 17:44:01","article","https://www.nytimes.com/2019/12/12/movies/a-hidden-life-review.html","Read the New York Times Review of A Hidden Life","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/12/arts/12hiddenlife1/12hiddenlife1-mediumThreeByTwo210.jpg",140,210,0.040625,0.320009765475993,0.65,"terrenc malick film tell stori austrian farmer heroic defianc nazi gorgeous time frustrat"
"32","Chinese Portrait","",0,"","‘Chinese Portrait’ Review: A Snapshot of a Country, Artfully Composed","A visual take on the vast expanse of a land and its people, compiled over 10 years by Wang Xiaoshuai.","2019-12-12","2019-12-13","2019-12-23 17:44:02","article","https://www.nytimes.com/2019/12/12/movies/chinese-portrait-review.html","Read the New York Times Review of Chinese Portrait","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/13/arts/12chinese-portraitpix/12chinese-portraitpix-mediumThreeByTwo210-v2.jpg",140,210,0.040625,0.320009765475993,0.65,"visual vast expans land peopl compil wang xiaoshuai"
"33","Seberg","R",0,"Jeannette Catsoulis","‘Seberg’ Review: Woman on Fire","Kristen Stewart is a picture of gorgeous disintegration in this speculative look at the F.B.I.’s persecution of the actress Jean Seberg.","2019-12-12","2019-12-13","2019-12-20 17:44:01","article","https://www.nytimes.com/2019/12/12/movies/seberg-review-kristen-stewart.html","Read the New York Times Review of Seberg","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/13/arts/seberg1/seberg1-mediumThreeByTwo210.jpg",140,210,0.040625,0.320009765475993,0.65,"kristen stewart pictur gorgeous disintegr specul look fbis persecut actress jean seberg"
"34","Jumanji: The Next Level","PG-13",0,"Glenn Kenny","‘Jumanji: The Next Level’ Review: New Faces Join the Gang, Back in the Wild","Dwayne Johnson, Kevin Hart, Jack Black and Karen Gillan return for this sequel, and they’ve got Danny DeVito and Danny Glover in tow.","2019-12-12","2019-12-13","2020-01-12 17:44:01","article","https://www.nytimes.com/2019/12/12/movies/jumanji-the-next-level-review.html","Read the New York Times Review of Jumanji: The Next Level","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/13/arts/12jumanji-art/12jumanji-art-mediumThreeByTwo210.jpg",140,210,0.040625,0.320009765475993,0.65,"dwayn johnson kevin hart jack black karen gillan return sequel theyv danni devito danni glover tow"
"35","The Death and Life of John F. Donovan","R",0,"Jeannette Catsoulis","‘The Death & Life of John F. Donovan’ Review: A Child Is Torn","Xavier Dolan’s muddled tale of a closeted celebrity and his much younger fan is shackled by an awkward structure and a fragmented vision.","2019-12-12","2019-12-13","2019-12-12 12:04:04","article","https://www.nytimes.com/2019/12/12/movies/the-death-and-life-of-john-f-donovan-review.html","Read the New York Times Review of The Death and Life of John F. Donovan","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/10/arts/death2/death2-mediumThreeByTwo210.jpg",140,210,0.040625,0.320009765475993,0.65,"xavier dolan muddl tale closet celebr fan shackl awkward structur fragment vision"
"36","Bombshell","R",0,"Manohla Dargis","‘Bombshell’ Review: Blind Ambition and Blond Sedition at Fox News","Charlize Theron, Nicole Kidman and Margot Robbie star in a story about the fall of Roger Ailes.","2019-12-12","2019-12-20","2020-01-12 17:44:01","article","https://www.nytimes.com/2019/12/12/movies/bombshell-review.html","Read the New York Times Review of Bombshell","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/11/arts/00bombshell-1/merlin_165535035_7e432360-13d9-4769-ad76-af28b17a0ec6-mediumThreeByTwo210.jpg",140,210,0.040625,0.320009765475993,0.65,"charliz theron nicol kidman margot robbi star stori fall roger ail"
"37","Cunningham","PG",1,"Brian Seibert","‘Cunningham’ Review: Exploring Space, Time and Dance in 3-D","Alla Kovgan’s documentary about  Merce Cunningham shows aspects of his choreography that can be difficult to convey on conventional film.","2019-12-11","2019-12-13","2020-01-11 17:44:01","article","https://www.nytimes.com/2019/12/11/movies/cunningham-documentary-review.html","Read the New York Times Review of Cunningham","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/13/arts/10cunningham-doc1/10cunningham-doc1-mediumThreeByTwo210.jpg",140,210,0.040625,0.320009765475993,0.65,"alla kovgan documentari merc cunningham aspect choreographi difficult convey convent film"
"38","A Christmas Prince: The Royal Baby","",0,"Helen T. Verongos","‘A Christmas Prince: The Royal Baby’ Review: The Title Says It All","This holiday film on Netflix, the third in a series, is both flimsy and flat, but if royal romance is what you crave, you’ve found it.","2019-12-06","2019-12-05","2019-12-06 17:14:02","article","https://www.nytimes.com/2019/12/06/movies/a-christmas-prince-the-royal-baby-review.html","Read the New York Times Review of A Christmas Prince: The Royal Baby","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/07/arts/06CHRISTMAS-PRINCEPIX/06CHRISTMAS-PRINCEPIX-mediumThreeByTwo210.jpg",140,210,0.040625,0.320009765475993,0.65,"holiday film netflix third seri flimsi flat royal romanc crave youv found"
"39","The Aeronauts","PG-13",1,"Jeannette Catsoulis","‘The Aeronauts’ Review: High Anxiety","Felicity Jones and Eddie Redmayne reach for the skies in this charming Victorian ballooning adventure.","2019-12-05","2019-12-06","2019-12-20 17:44:01","article","https://www.nytimes.com/2019/12/05/movies/the-aeronauts-review.html","Read the New York Times Review of The Aeronauts","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/06/arts/aeronauts1/aeronauts1-mediumThreeByTwo210.jpg",140,210,0.040625,0.320009765475993,0.65,"felic jone eddi redmayn reach sky charm victorian balloon adventur"
"40","In Fabric","R",1,"Glenn Kenny","‘In Fabric’ Review: The Dress Is Possessed. But It Was on Sale.","Peter Strickland’s fourth feature is a horror story about, yes, a garment, but it’s his most engrossing work yet.","2019-12-05","2019-12-06","2019-12-29 17:44:01","article","https://www.nytimes.com/2019/12/05/movies/in-fabric-review.html","Read the New York Times Review of In Fabric","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/06/arts/05infabric/merlin_165236229_65bb74f2-4c9c-4b6c-9b32-e90b582b4656-mediumThreeByTwo210.jpg",140,210,0.040625,0.320009765475993,0.65,"peter strickland fourth featur horror stori yes garment engross"
"41","Midnight Family","",1,"Manohla Dargis","‘Midnight Family’ Review: The Night Stalkers of Mexico City","In this outstanding documentary, a family of emergency medical workers struggles both to save lives and to make a living.","2019-12-05","2019-12-06","2020-01-04 17:44:01","article","https://www.nytimes.com/2019/12/04/movies/midnight-family-review.html","Read the New York Times Review of Midnight Family","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/06/arts/00midnight-family/00midnight-family-mediumThreeByTwo210-v2.jpg",140,210,0.040625,0.320009765475993,0.65,"outstand documentari famili emerg medic worker struggl save live live"
"42","A German Youth","",0,"Ben Kenigsberg","‘A German Youth’ Review: Lights, Camera, Guerrilla Tactics?","The documentary traces the origins of the Red Army Faction with a dizzying assemblage of archival footage.","2019-12-05","2019-10-11","2019-12-06 05:24:02","article","https://www.nytimes.com/2019/12/05/movies/a-german-youth-review.html","Read the New York Times Review of A German Youth","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/06/arts/05germanyouth/05germanyouth-mediumThreeByTwo210-v2.jpg",140,210,0.040625,0.320009765475993,0.65,"documentari trace origin red armi faction dizzi assemblag archiv footag"
"43","The Disappearance of My Mother","",0,"A.O. Scott","‘The Disappearance of My Mother’ Review: Son’s View of a Model Parent","Benedetta Barzini, couture star and cultural critic, reluctantly faces her son’s camera in a tender and harsh documentary.","2019-12-05","2019-12-06","2019-12-25 17:44:01","article","https://www.nytimes.com/2019/12/05/movies/the-disappearance-of-my-mother-review.html","Read the New York Times Review of The Disappearance of My Mother","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/06/arts/06DISAPPEARANCE-1/06DISAPPEARANCE-1-mediumThreeByTwo210.jpg",140,210,0.040625,0.320009765475993,0.65,"benedetta barzini coutur star cultur critic reluct son camera tender harsh documentari"
